Timestamp,Reward,Exploit,state1,state2,actionID
17-06-2020-09-40-01,0,0,0,0,0
17-06-2020-09-40-01,0,0,0,0,0
17-06-2020-09-40-01,0,0,0,0,0
17-06-2020-09-40-01,0,1,0,0,0
17-06-2020-09-40-01,0,0,0,0,0
17-06-2020-09-40-01,1,0,1,0,1
17-06-2020-09-40-01,1,0,1,0,1
17-06-2020-09-40-01,1,1,1,0,1
17-06-2020-09-40-01,1,0,1,0,1
17-06-2020-09-40-01,1,1,1,0,1
17-06-2020-09-40-01,2,0,1,1,0
17-06-2020-09-40-01,2,1,1,1,0
17-06-2020-09-40-01,2,0,1,1,0
17-06-2020-09-40-01,2,0,1,1,0
17-06-2020-09-40-01,2,0,1,1,0
